Column1,vol_url,vol_number,volname,acronym,coloc_conf,ceur_long_title,voltitle,h1,tdtitle,title,loctime,workshop,workshopLabel,ref_url,ShortName,countryLabel,cityLabel,StartTime,EndTime,ProceedingsTitle,Vol_Number.1,Year,dblp_url
1428,http://ceur-ws.org/Vol-1391/,1391,CLEF2015 Working Notes,CLEF 2015,proceedings of conference,Working Notes of CLEF 2015 - Conference and Labs of the Evaluation forum,CLEF2015 Working Notes,CLEF 2015 CLEF2015 Working Notes,"Working Notes of CLEF 2015 (Conference and Labs of the Evaluation forum), Toulouse, France, September 8-11, 2015.",Working Notes of CLEF 2015 - Conference and Labs of the Evaluation forum,"Toulouse, France, September 8-11, 2015",,,,,,,,,"Working Notes of CLEF 2015 - Conference and Labs of the Evaluation forum, Toulouse, France, September 8-11, 2015.",1391,2015,https://dblp.org/db/conf/clef/clef2015w.html
1429,http://ceur-ws.org/Vol-1392/,1392,Mining Urban Data 2015,MUD 2015,ICML 2015,Proceedings of the 2nd International Workshop on Mining Urban Data co-located with 32nd International Conference on Machine Learning (ICML 2015),Mining Urban Data,MUD 2015 Mining Urban Data,"Proceedings of the 2nd International Workshop on Mining Urban Data (MUD 2015), Lille, France, July 11th, 2015.",Proceedings of the 2nd International Workshop on Mining Urban Data,"Lille, France, July 11th, 2015",http://www.wikidata.org/entity/Q113649270,2nd International Workshop on Mining Urban Data,http://ceur-ws.org/Vol-1392/,MUD 2015,France,Lille,2015/7/11 2:00,2015/7/11 2:00,"Proceedings of the 2nd International Workshop on Mining Urban Data co-located with 32nd International Conference on Machine Learning (ICML 2015), Lille, France, July 11th, 2015.",1392,2015,https://dblp.org/db/conf/icml/mud2015.html
1430,http://ceur-ws.org/Vol-1393/,1393,Graph Search and Beyond 2015,GSB 2015,SIGIR'15,Proceedings of the First International Workshop on Graph Search and Beyond co-located with The 38th Annual SIGIR Conference (SIGIR'15),Graph Search and Beyond,GSB 2015Graph Search and Beyond,"Proceedings of the First International Workshop on Graph Search and Beyond (GSB 2015), Santiago, Chile, August 13th, 2015.",Proceedings of the First International Workshop on Graph Search and Beyond,"Santiago, Chile, August 13th, 2015",http://www.wikidata.org/entity/Q113649271,First International Workshop on Graph Search and Beyond,http://ceur-ws.org/Vol-1393/,GSB 2015,Spain,Santiago de Compostela,2015/8/13 2:00,2015/8/13 2:00,"Proceedings of the First International Workshop on Graph Search and Beyond, GSB 2015, co-located with The 38th Annual SIGIR Conference (SIGIR'15), Santiago, Chile, August 13th, 2015.",1393,2015,https://dblp.org/db/conf/sigir/gsb2015.html
1431,http://ceur-ws.org/Vol-1394/,1394,II Congreso de la Sociedad Española para las Ciencias del Videojuego 2015,CoSECiVi 2015,,Proceedings 2st Congreso de la Sociedad Española para las Ciencias del Videojuego,II Congreso de la Sociedad Española para las Ciencias del Videojuego,CoSECiVi 2015 II Congreso de la Sociedad Española para las Ciencias del Videojuego,"Proceedings 2st Congreso de la Sociedad Española para las Ciencias del Videojuego (CoSECiVi 2015), Barcelona, Spain, June 24, 2015.",Proceedings 2st Congreso de la Sociedad Española para las Ciencias del Videojuego,"Barcelona, Spain, June 24, 2015",http://www.wikidata.org/entity/Q113649272,2st Congreso de la Sociedad Española para las Ciencias del Videojuego,http://ceur-ws.org/Vol-1394/,CoSECiVi 2015,Spain,Barcelona,2015/6/24 2:00,2015/6/24 2:00,"Proceedings 2st Congreso de la Sociedad Española para las Ciencias del Videojuego, Barcelona, Spain, June 24, 2015.",1394,2015,https://dblp.org/db/conf/cosecivi/cosecivi2015.html
1432,http://ceur-ws.org/Vol-1395/,1395,Making Sense of Microposts 2015,#Microposts2015,WWW 2015,Proceedings of the the 5th Workshop on Making Sense of Microposts co-located with the 24th International World Wide Web Conference (WWW 2015),Making Sense of Microposts: Big things come in small packages,#Microposts2015 Making Sense of Microposts: Big things come in small packages,"Proceedings of the the 5th Workshop on Making Sense of Microposts (#Microposts2015), Florence, Italy, May 18th, 2015.",Proceedings of the the 5th Workshop on Making Sense of Microposts,"Florence, Italy, May 18th, 2015",http://www.wikidata.org/entity/Q113649273,the 5th Workshop on Making Sense of Microposts,http://ceur-ws.org/Vol-1395/,#Microposts2015,Italy,Florence,2015/5/18 2:00,2015/5/18 2:00,"Proceedings of the the 5th Workshop on Making Sense of Microposts co-located with the 24th International World Wide Web Conference (WWW 2015), Florence, Italy, May 18th, 2015.",1395,2015,https://dblp.org/db/conf/msm/msm2015.html
1433,http://ceur-ws.org/Vol-1396/,1396,Bidirectional Transformations 2015,Bx 2015,STAF 2015,Proceedings of the 4th International Workshop on Bidirectional Transformations co-located with Software Technologies: Applications and Foundations (STAF 2015),Bidirectional Transformations,Bx 2015 Bidirectional Transformations,"Proceedings of the 4th International Workshop on Bidirectional Transformations (Bx 2015), L'Aquila, Italy, July 24, 2015.",Proceedings of the 4th International Workshop on Bidirectional Transformations,"L'Aquila, Italy, July 24, 2015",http://www.wikidata.org/entity/Q113649274,4th International Workshop on Bidirectional Transformations,http://ceur-ws.org/Vol-1396/,Bx 2015,Italy,L’Aquila,2015/7/24 2:00,2015/7/24 2:00,"Proceedings of the 4th International Workshop on Bidirectional Transformations co-located with Software Technologies: Applications and Foundations, STAF 2015, L'Aquila, Italy, July 24, 2015.",1396,2015,https://dblp.org/db/conf/staf/bx2015.html
1434,http://ceur-ws.org/Vol-1397/,1397,Workshop on Sentiment Analysis at SEPLN 2015,TASS 2015,SEPLN 2015,Proceedings of TASS 2015: Workshop on Sentiment Analysis at SEPLN co-located with 31st SEPLN Conference (SEPLN 2015),Workshop on Sentiment Analysis at SEPLN,TASS 2015 Workshop on Sentiment Analysis at SEPLN,"Proceedings of TASS 2015: Workshop on Sentiment Analysis at the 31st SEPLN Conference, Alicante, Spain, September 15, 2015.",Proceedings of TASS 2015: Workshop on Sentiment Analysis at SEPLN,"Alicante, Spain, September 15, 2015",http://www.wikidata.org/entity/Q113649275,TASS 2015: Workshop on Sentiment Analysis at SEPLN,http://ceur-ws.org/Vol-1397/,TASS 2015,Spain,Alicante,2015/9/15 2:00,2015/9/15 2:00,"Proceedings of TASS 2015: Workshop on Sentiment Analysis at SEPLN co-located with 31st SEPLN Conference (SEPLN 2015), Alicante, Spain, September 15, 2015.",1397,2015,https://dblp.org/db/conf/sepln/tass2015.html
1435,http://ceur-ws.org/Vol-1398/,1398,Social Influence Analysis 2015,SocInf 2015,IJCAI 2015,Proceedings of the 1st International Workshop on Social Influence Analysis co-located with 24th International Joint Conference on Artificial Intelligence (IJCAI 2015),Social Influence Analysis,SocInf 2015 Social Influence Analysis,"Proceedings of the 1st International Workshop on Social Influence Analysis (SocInf 2015), Buenos Aires, Argentina, July 27, 2015.",Proceedings of the 1st International Workshop on Social Influence Analysis,"Buenos Aires, Argentina, July 27, 2015",http://www.wikidata.org/entity/Q113649276,1st International Workshop on Social Influence Analysis,http://ceur-ws.org/Vol-1398/,SocInf 2015,Argentina,Buenos Aires,2015/7/27 2:00,2015/7/27 2:00,"Proceedings of the 1st International Workshop on Social Influence Analysis, SocInf 2015, co-located with 24th International Joint Conference on Artificial Intelligence (IJCAI 2015), Buenos Aires, Argentina, July 27, 2015.",1398,2015,https://dblp.org/db/conf/ijcai/socinf2015.html
1436,http://ceur-ws.org/Vol-1399/,1399,Biographical Data in a Digital World 2015,BD2015,proceedings of conference,Proceedings of the First Conference on Biographical Data in a Digital World 2015,Biographical Data in a Digital World 2015,BD2015 Biographical Data in a Digital World 2015,"Proceedings of the First Conference on Biographical Data in a Digital World 2015 (BD 2015), Amsterdam, The Netherlands, April 9, 2015.",Proceedings of the First Conference on Biographical Data in a Digital World 2015,"Amsterdam, The Netherlands, April 9, 2015",,,,,,,,,"Proceedings of the First Conference on Biographical Data in a Digital World 2015, Amsterdam, The Netherlands, April 9, 2015.",1399,2015,https://dblp.org/db/conf/bd/bd2015.html
1437,http://ceur-ws.org/Vol-1400/,1400,Projects Showcase @ STAF 2015,PS-STAF 2015,STAF 2015,"Proceedings of the Projects Showcase, part of the Software Technologies: Applications and Foundations 2015 federation of conferences (STAF 2015)",Projects Showcase @ STAF 2015,PS-STAF 2015 Projects Showcase @ STAF 2015,"Proceedings of the Projects Showcase, part of the Software Technologies: Applications and Foundations 2015 federation of conferences. L'Aquila, Italy, July 22, 2015.","Proceedings of the Projects Showcase, part of the Software Technologies: Applications and Foundations 2015 federation of conferences","L'Aquila, Italy, July 22, 2015",,,,,,,,,"Proceedings of the Projects Showcase, part of the Software Technologies: Applications and Foundations 2015 federation of conferences (STAF 2015), L'Aquila, Italy, July 22, 2015.",1400,2015,https://dblp.org/db/conf/staf/ps2015.html
1438,http://ceur-ws.org/Vol-1401/,1401,Terra Cognita - Semantic Sensor Networks 2014,TC-SSN 2014,ISWC 2014,"Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web and 7th International Workshop on Semantic Sensor Networks co-located with 13th International Semantic Web Conference (ISWC 2014)",Terra Cognita - Semantic Sensor Networks,TC-SSN 2014Terra Cognita - Semantic Sensor Networks,"Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web and the 7th International Workshop on Semantic Sensor Networks, Riva del Garda, Trentino, Italy, October 20, 2014.","Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web and 7th International Workshop on Semantic Sensor Networks","Riva del Garda, Trentino, Italy, October 20, 2014",http://www.wikidata.org/entity/Q113646060,7th International Workshop on Semantic Sensor Networks,http://ceur-ws.org/Vol-1401/,SSN 2014,Italy,Riva del Garda,2014/10/20 2:00,2014/10/20 2:00,"Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web, TC 2014, and 7th International Workshop on Semantic Sensor Networks, SSN 2014, co-located with 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Trentino, Italy, October 20, 2014.",1401,2015,https://dblp.org/db/conf/semweb/tc-ssn2014.html
1439,http://ceur-ws.org/Vol-1401/,1401,Terra Cognita - Semantic Sensor Networks 2014,TC-SSN 2014,ISWC 2014,"Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web and 7th International Workshop on Semantic Sensor Networks co-located with 13th International Semantic Web Conference (ISWC 2014)",Terra Cognita - Semantic Sensor Networks,TC-SSN 2014Terra Cognita - Semantic Sensor Networks,"Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web and the 7th International Workshop on Semantic Sensor Networks, Riva del Garda, Trentino, Italy, October 20, 2014.","Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web and 7th International Workshop on Semantic Sensor Networks","Riva del Garda, Trentino, Italy, October 20, 2014",http://www.wikidata.org/entity/Q113646125,"6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web",http://ceur-ws.org/Vol-1401/,Terra Cognita 2014,Italy,Riva del Garda,2014/10/20 2:00,2014/10/20 2:00,"Joint Proceedings of the 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web, TC 2014, and 7th International Workshop on Semantic Sensor Networks, SSN 2014, co-located with 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Trentino, Italy, October 20, 2014.",1401,2015,https://dblp.org/db/conf/semweb/tc-ssn2014.html
1440,http://ceur-ws.org/Vol-1402/,1402,iStar 2015,iStar 2015,RE 2015,Proceedings of the Eighth International i*Workshop - iStar 2015 in conjunction with the 23rd International Requirements Engineering Conference (RE 2015),Eighth International i*Workshop,iStar 2015 Eighth International i*Workshop,"Proceedings of the Eighth International i* Workshop (iStar 2015), Ottawa, Canada, August 24-25, 2015.",Proceedings of the Eighth International i*Workshop,"Ottawa, Canada, August 24-25, 2015",http://www.wikidata.org/entity/Q113646061,Eighth International i* Workshop,http://ceur-ws.org/Vol-1402/,iStar 2015,Canada,Ottawa,2015/8/24 2:00,2015/8/25 2:00,"Proceedings of the Eighth International i*Workshop, iStar 2015, in conjunction with the 23rd International Requirements Engineering Conference (RE 2015), Ottawa, Canada, August 24-25, 2015.",1402,2015,https://dblp.org/db/conf/istar/istar2015.html
1441,http://ceur-ws.org/Vol-1403/,1403,Graph Computation Models 2015,GCM 2015,STAF 2015,Proceedings of the 6th International Workshop on Graph Computation Models co-located with the 8th International Conference on Graph Transformation (ICGT 2015) part of the Software Technologies: Applications and Foundations (STAF 2015) federation of conferences,Graph Computation Models,GCM 2015 Graph Computation Models,"Proceedings of the 6th International Workshop on Graph Computation Models (GCM 2015), part of the Software Technologies: Applications and Foundations 2015 federation of conferences. L'Aquila, Italy, July 20, 2015.",Proceedings of the 6th International Workshop on Graph Computation Models,"L'Aquila, Italy, July 20, 2015",http://www.wikidata.org/entity/Q113646062,6th International Workshop on Graph Computation Models,http://ceur-ws.org/Vol-1403/,GCM 2015,Italy,L’Aquila,2015/7/20 2:00,2015/7/20 2:00,"Proceedings of the 6th International Workshop on Graph Computation Models co-located with the 8th International Conference on Graph Transformation (ICGT 2015) part of the Software Technologies: Applications and Foundations (STAF 2015) federation of conferences, L'Aquila, Italy, July 20, 2015.",1403,2015,https://dblp.org/db/conf/gg/gcm2015.html
1442,http://ceur-ws.org/Vol-1404/,1404,Italian Information Retrieval Workshop 2015,IIR 2015,,Proceedings of the 6th Italian Information Retrieval Workshop,Italian Information Retrieval Workshop,IIR 2015 Italian Information Retrieval Workshop,"Proceedings of the 6th Italian Information Retrieval Workshop (IIR 2015), Cagliari, Italy, May 25-26, 2015.",Proceedings of the 6th Italian Information Retrieval Workshop,"Cagliari, Italy, May 25-26, 2015",http://www.wikidata.org/entity/Q113646064,6th Italian Information Retrieval Workshop,http://ceur-ws.org/Vol-1404/,IIR 2015,Italy,Cagliari,2015/5/25 2:00,2015/5/26 2:00,"Proceedings of the 6th Italian Information Retrieval Workshop, Cagliari, Italy, May 25-26, 2015.",1404,2015,https://dblp.org/db/conf/iir/iir2015.html
1443,http://ceur-ws.org/Vol-1405/,1405,Location-Aware Recommendations 2015,LocalRec 2015,RecSys 2015,Proceedings of the Workshop on Location-Aware Recommendations co-located with the 9th ACM Conference on Recommender Systems (RecSys 2015),Location-Aware Recommendations,LocalRec 2015 Location-Aware Recommendations,"Proceedings of the Workshop on Location-Aware Recommendations (LocalRec 2015), Vienna, Austria, September 19, 2015.",Proceedings of the Workshop on Location-Aware Recommendations,"Vienna, Austria, September 19, 2015",http://www.wikidata.org/entity/Q113646065,Workshop on Location-Aware Recommendations,http://ceur-ws.org/Vol-1405/,LocalRec 2015,Austria,Vienna,2015/9/19 2:00,2015/9/19 2:00,"Proceedings of the Workshop on Location-Aware Recommendations, LocalRec 2015, co-located with the 9th ACM Conference on Recommender Systems (RecSys 2015), Vienna, Austria, September 19, 2015.",1405,2015,https://dblp.org/db/conf/recsys/localrec2015.html
1444,http://ceur-ws.org/Vol-1406/,1406,Scalable Model Driven Engineering 2015,BigMDE 2015,STAF 2015,Proceedings of the 3rd Workshop on Scalable Model Driven Engineering part of the Software Technologies: Applications and Foundations (STAF 2015) federation of conferences,,BigMDE 2015 Scalable Model Driven Engineering,"Proceedings of the 3rd Workshop on Scalable Model Driven Engineering (BigMDE 2015), part of the Software Technologies: Applications and Foundations 2015 federation of conferences. L'Aquila, Italy, July 23, 2015.",Proceedings of the 3rd Workshop on Scalable Model Driven Engineering,"L'Aquila, Italy, July 23, 2015",http://www.wikidata.org/entity/Q113646066,3rd Workshop on Scalable Model Driven Engineering,http://ceur-ws.org/Vol-1406/,BigMDE 2015,Italy,L’Aquila,2015/7/23 2:00,2015/7/23 2:00,"Proceedings of the 3rd Workshop on Scalable Model Driven Engineering part of the Software Technologies: Applications and Foundations (STAF 2015) federation of conferences, L'Aquila, Italy, July 23, 2015.",1406,2015,https://dblp.org/db/conf/staf/bigmde2015.html
1445,http://ceur-ws.org/Vol-1407/,1407,AI and Feedback 2015,AInF 2015,IJCAI 2015,Proceedings of the First International Workshop on AI and Feedback co-located with the 24th International Joint Conference on Artificial Intelligence (IJCAI 2015),AI and Feedback,AInF 2015 AI and Feedback,"Proceedings of the First International Workshop on AI and Feedback (AInF 2015), Buenos Aires, Argentina, July 26, 2015.",Proceedings of the First International Workshop on AI and Feedback,"Buenos Aires, Argentina, July 26, 2015",http://www.wikidata.org/entity/Q113646067,First International Workshop on AI and Feedback,http://ceur-ws.org/Vol-1407/,AInF 2015,Argentina,Buenos Aires,2015/7/26 2:00,2015/7/26 2:00,"Proceedings of the First International Workshop on AI and Feedback, AInF 2015, co-located with the 24th International Joint Conference on Artificial Intelligence (IJCAI 2015), Buenos Aires, Argentina, July 26, 2015.",1407,2015,https://dblp.org/db/conf/ijcai/ainf2015.html
1446,http://ceur-ws.org/Vol-1408/,1408,"Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015",TEE 2015,CBI 2015,"Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM co-located with the 17th IEEE International Conference on Business Informatics (IEEE CBI 2015)","Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015","CBI-CP-2015 (TEE 2015, CoBI 2015, XOC-BPM 2015) Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015","Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM, Lisbon, Portugal, July 13-16, 2015.","Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM","Lisbon, Portugal, July 13-16, 2015",http://www.wikidata.org/entity/Q113646068,2nd Workshop on Cross-Organizational and Cross-Company BPM,http://ceur-ws.org/Vol-1408/,XOC-BPM 2015,Portugal,Lisbon,2015/7/13 2:00,2015/7/16 2:00,,,,
1447,http://ceur-ws.org/Vol-1408/,1408,"Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015",TEE 2015,CBI 2015,"Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM co-located with the 17th IEEE International Conference on Business Informatics (IEEE CBI 2015)","Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015","CBI-CP-2015 (TEE 2015, CoBI 2015, XOC-BPM 2015) Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015","Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM, Lisbon, Portugal, July 13-16, 2015.","Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM","Lisbon, Portugal, July 13-16, 2015",http://www.wikidata.org/entity/Q113646178,2nd International Workshop on Capability-oriented Business Informatics,http://ceur-ws.org/Vol-1408/,CoBI 2015,Portugal,Lisbon,2015/7/13 2:00,2015/7/16 2:00,,,,
1448,http://ceur-ws.org/Vol-1408/,1408,"Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015",TEE 2015,CBI 2015,"Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM co-located with the 17th IEEE International Conference on Business Informatics (IEEE CBI 2015)","Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015","CBI-CP-2015 (TEE 2015, CoBI 2015, XOC-BPM 2015) Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015","Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM, Lisbon, Portugal, July 13-16, 2015.","Complementary Proceedings of the 9th Workshop on Transformation & Engineering of Enterprises, the 2nd International Workshop on Capability-oriented Business Informatics, and the 2nd Workshop on Cross-Organizational and Cross-Company BPM","Lisbon, Portugal, July 13-16, 2015",http://www.wikidata.org/entity/Q113646176,9th Workshop on Transformation & Engineering of Enterprises,http://ceur-ws.org/Vol-1408/,TEE 2015,Portugal,Lisbon,2015/7/13 2:00,2015/7/16 2:00,,,,
1449,http://ceur-ws.org/Vol-1409/,1409,Linked Data on the Web 2015,LDOW 2015,WWW 2015,Proceedings of the Workshop on Linked Data on the Web co-located with the 24th International World Wide Web Conference (WWW 2015),Linked Data on the Web,LDOW 2015Linked Data on the Web,"Proceedings of the Workshop on Linked Data on the Web (LDOW 2015), Florence, Italy, May 19, 2015.",Proceedings of the Workshop on Linked Data on the Web,"Florence, Italy, May 19th, 2015",http://www.wikidata.org/entity/Q113646070,The 8th Workshop on Linked Data on the Web,http://ceur-ws.org/Vol-1409/,LDOW 2015,Italy,Florence,2015/5/19 2:00,2015/5/19 2:00,"Proceedings of the Workshop on Linked Data on the Web, LDOW 2015, co-located with the 24th International World Wide Web Conference (WWW 2015), Florence, Italy, May 19th, 2015.",1409,2015,https://dblp.org/db/conf/www/ldow2015.html
1450,http://ceur-ws.org/Vol-1410/,1410,Interactions between Data Mining and Natural Language Processing 2015,DMNLP 2015,ECML PKDD 2015,Proceedings of the Workshop on Interactions between Data Mining and Natural Language Processing 2015 co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2015),Interactions between Data Mining and Natural Language Processing 2015,DMNLP 2015 Interactions between Data Mining and Natural Language Processing 2015,"Proceedings of the Workshop on Interactions between Data Mining and Natural Language Processing 2015 (DMNLP 2015), Porto, Portugal, September 07, 2015.",Proceedings of the Workshop on Interactions between Data Mining and Natural Language Processing 2015,"Porto, Portugal, September 07, 2015",http://www.wikidata.org/entity/Q113646072,Workshop on Interactions between Data Mining and Natural Language Processing 2015,http://ceur-ws.org/Vol-1410/,DMNLP 2015,Portugal,Porto,2015/9/7 2:00,2015/9/7 2:00,"Proceedings of the Workshop on Interactions between Data Mining and Natural Language Processing, DMNLP 2015, co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2015), Porto, Portugal, September 07, 2015.",1410,2015,https://dblp.org/db/conf/pkdd/dmnlp2015.html
1451,http://ceur-ws.org/Vol-1411/,1411,Orchestrated Collaborative Classroom Workshop 2015,OCCW 2015,CSCL 2015,Proceedings of the Orchestrated Collaborative Classroom Workshop 2015 co-located with 11th International Conference on Computer Supported Collaborative Learning (CSCL 2015),Orchestrated Collaborative Classroom Workshop 2015,OCCW 2015Orchestrated Collaborative Classroom Workshop 2015,"Proceedings of the Orchestrated Collaborative Classroom Workshop (OCCW 2015), Gothenburg, Sweden, June 7, 2015.",Proceedings of the Orchestrated Collaborative Classroom Workshop 2015,"Gothenburg, Sweden, June 7, 2015",http://www.wikidata.org/entity/Q113646073,Orchestrated Collaborative Classroom Workshop 2015,http://ceur-ws.org/Vol-1411/,OCCW 2015,Sweden,Gothenburg,2015/6/7 2:00,2015/6/7 2:00,,,,
1452,http://ceur-ws.org/Vol-1412/,1412,Bridging the Gap between Human and Automated Reasoning 2015,Bridging 2015,CADE-25,Proceedings of the Workshop on Bridging the Gap between Human and Automated Reasoning A workshop of the 25th International Conference on Automated Deduction (CADE-25),Bridging the Gap between Human and Automated Reasoning,Bridging 2015 Bridging the Gap between Human and Automated Reasoning,"Proceedings of the Workshop on Bridging the Gap between Human and Automated Reasoning, Berlin, Germany, August 1, 2015.",Proceedings of the Workshop on Bridging the Gap between Human and Automated Reasoning,"Berlin, Germany, August 1, 2015",http://www.wikidata.org/entity/Q113646319,1st Workshop on Bridging the Gap between Human and Automated Reasoning,http://ceur-ws.org/Vol-1412/,Bridging 2015,Germany,Berlin,2015/8/1 2:00,2015/8/1 2:00,"Proceedings of the Workshop on Bridging the Gap between Human and Automated Reasoning - A workshop of the 25th International Conference on Automated Deduction (CADE-25), Berlin, Germany, August 1, 2015.",1412,2015,https://dblp.org/db/conf/cade/bridging2015.html
1453,http://ceur-ws.org/Vol-1413/,1413,Probabilistic Logic Programming 2015,PLP 2015,ICLP 2015,Proceedings of the 2nd International Workshop on Probabilistic Logic Programming co-located with 31st International Conference on Logic Programming (ICLP 2015),Probabilistic Logic Programming,PLP 2015Probabilistic Logic Programming,"Proceedings of the 2nd International Workshop on Probabilistic Logic Programming (PLP 2015), Cork, Ireland, August 31st, 2015.",Proceedings of the 2nd International Workshop on Probabilistic Logic Programming,"Cork, Ireland, August 31st, 2015",http://www.wikidata.org/entity/Q113646075,2nd International Workshop on Probabilistic Logic Programming,http://ceur-ws.org/Vol-1413/,PLP 2015,Republic of Ireland,Cork,2015/8/31 2:00,2015/8/31 2:00,"Proceedings of the 2nd International Workshop on Probabilistic Logic Programming co-located with 31st International Conference on Logic Programming (ICLP 2015), Cork, Ireland, August 31st, 2015.",1413,2015,https://dblp.org/db/conf/iclp/plp2015.html
1454,http://ceur-ws.org/Vol-1414/,1414,IWEI 2015 Workshops,IWEI-WS 2015,IWEI 2015,Proceeedings of the Workshops of the IWEI 2015 Conference co-located with the 6th International IFIP Working Conference on Enterprise Interoperability IWEI 2015,IWEI 2015 Workshops - New Requirements and Innovative Solutions to Enterprise Interoperabilty,IWEI-WS 2015 IWEI 2015 Workshops - New Requirements and Innovative Solutions to Enterprise Interoperabilty,"Proceeedings of the Workshops of the 6th International IFIP Working Conference on Enterprise Interoperability (IWEI 2015), Nîmes, France, May 27, 2015.",Proceeedings of the Workshops of the IWEI 2015 Conference,"Nîmes, France, May 27, 2015",http://www.wikidata.org/entity/Q113646076,Proceedings of the Workshops of the IWEI 2015 Conference,http://ceur-ws.org/Vol-1414/,IWEI-WS 2015,France,Nîmes,2015/5/27 2:00,2015/5/27 2:00,"Proceeedings of the Workshops of the IWEI 2015 Conference co-located with the 6th International IFIP Working Conference on Enterprise Interoperability IWEI 2015, Nîmes, France, May 27, 2015.",1414,2015,https://dblp.org/db/conf/ifip5-8/iwei2015w.html
1455,http://ceur-ws.org/Vol-1415/,1415,CAISE'2015 Doctoral Consortium,CAISE-DC 2015,CAiSE 2015,Proceedings of the CAiSE'2015 Doctoral Consortium at the 27th International Conference on Advanced Information Systems Engineering (CAiSE 2015),CAISE'2015 Doctoral Consortium,CAISE-DC 2015 CAISE'2015 Doctoral Consortium,"Proceedings of the Doctoral Consortium of the 27th International Conference on Advanced Information Systems Engineering (CAiSE 2015), Stockholm, Sweden, June 11-12, 2015.",Proceedings of the CAiSE'2015 Doctoral Consortium,"Stockholm, Sweden, June 11 - 12, 2015",http://www.wikidata.org/entity/Q113646077,CAiSE'2015 Doctoral Consortium,http://ceur-ws.org/Vol-1415/,CAISE-DC 2015,Sweden,Stockholm,2015/6/11 2:00,2015/6/12 2:00,"Proceedings of the CAiSE'2015 Doctoral Consortium at the 27th International Conference on Advanced Information Systems Engineering (CAiSE 2015), Stockholm, Sweden, June 11-12, 2015.",1415,2015,https://dblp.org/db/conf/caise/dc2015.html
